,C1,C2,G
1980-01-01,34.40395784569878,29.76856401492602,58.182931265730204
1980-02-01,28.21487330011362,12.898873501567532,55.51363115406815
1980-03-01,81.59039015574055,26.0910342366092,104.18393820051338
1980-04-01,92.11675112295568,47.47704939774185,123.73486945106899
1980-05-01,82.96422423772428,116.10927585327008,114.99829170059127
1980-06-01,84.68276840768645,58.50270218398523,35.25697751566147
1980-07-01,117.33751084018893,46.30921366970816,5.193215008017195
1980-08-01,123.0882164542347,32.76983960124263,11.7555395282961
1980-09-01,78.1121625519295,24.8574503162818,11.204411099086625
1980-10-01,39.407954271389094,10.966035270072775,19.820808538019516
1980-11-01,28.146847229271366,22.023585510853692,85.47505520187207
1980-12-01,30.64828195770618,41.84329858327651,135.0813047643993
1981-01-01,54.5642399261122,89.23818298105803,160.3361094373046
1981-02-01,60.69021556676597,53.48207480897991,152.9777396564038
1981-03-01,60.34872353012356,67.28105073923925,114.11505848417143
1981-04-01,62.37285866728097,45.78823101420107,39.515588842410686
1981-05-01,74.20471979703422,47.150883467467175,20.711252363325528
1981-06-01,98.50082462216544,35.12752209589711,19.779168064758046
1981-07-01,139.49888987137678,19.11249103786728,4.038782581822264
1981-08-01,135.43782835653712,18.16429877687179,8.142406335447912
1981-09-01,62.07786478364703,59.00792880283442,19.747178655510265
1981-10-01,29.74650012425752,7.761022572567644,30.011556450862113
1981-11-01,23.28712379863633,15.926423922994674,72.24321651911937
1981-12-01,31.772705687754474,34.62067336091253,76.25495644377108
1982-01-01,31.303885456031864,12.774844290278507,39.83129775733579
1982-02-01,79.83871715714625,58.301778716284915,181.1634211990106
1982-03-01,91.6172691572586,79.9753320311997,163.0867790521664
1982-04-01,76.66754258282565,38.09708906181793,71.36526045781183
1982-05-01,97.02153349216475,86.83029431946808,81.98678604852715
1982-06-01,114.17564299472322,145.80590460773234,126.0734579124722
1982-07-01,127.31636603217079,45.830461009702866,21.68873482796193
1982-08-01,140.89726543643596,17.750521075698884,8.274830433387532
1982-09-01,69.2843302259196,37.58465135613094,14.278453462770385
1982-10-01,29.68020091717604,12.132903141783329,39.87194449362876
1982-11-01,26.68742137485795,31.278865604939018,88.35672501344047
1982-12-01,31.996011667681714,46.653697922438006,96.5254322573518
1983-01-01,51.53776359647749,55.71560928491564,149.0066685431765
1983-02-01,80.08677994221532,50.01838723970217,171.41460927136822
1983-03-01,84.66984157986663,86.63397717652701,240.5960281154989
1983-04-01,98.3782212546185,79.05484275678575,127.43517000633355
1983-05-01,122.38441942734467,87.25779689621822,103.00642250419524
1983-06-01,116.38841349438802,61.73484956136396,55.544018843938375
1983-07-01,117.4694417761516,28.93193560366664,11.481175009600769
1983-08-01,139.3368271807301,13.511609190286588,15.141750223867811
1983-09-01,62.68976473709888,35.38862316381134,12.462305240209393
1983-10-01,29.09174474700275,19.780700703267275,17.455645823737346
1983-11-01,23.57639177031179,37.39127948209559,125.7843360207464
1983-12-01,30.736913882321325,28.600752900321755,56.08884951300423
1984-01-01,52.06334332329803,37.24238176369377,88.35929299586932
1984-02-01,77.32845873798634,55.573162251095134,139.06066146218157
1984-03-01,65.89967419496809,45.23737693264313,143.60250107101936
1984-04-01,70.7510646883891,48.422197172751005,72.65914039726623
1984-05-01,105.25001100997436,77.79495635883424,83.87482852304
1984-06-01,145.14298765824847,121.35845468592336,151.79917374613672
1984-07-01,132.12052782082432,47.603351145227386,21.80825752537068
1984-08-01,145.5264840774976,20.963419119789606,13.486050036546088
1984-09-01,73.93290579998212,44.9349904693443,18.945504148173416
1984-10-01,33.7288685357768,20.443325202140574,27.051328416519958
1984-11-01,25.108085364149193,26.871708512488656,91.4037446196475
1984-12-01,30.019547433517996,15.952973280890266,41.39189966002739
1985-01-01,26.42591349642683,12.265216644306204,35.0473818385639
1985-02-01,23.650216967691613,11.564230068158194,31.978479713198105
1985-03-01,45.463154356881766,5.364608895647782,46.816934222887404
1985-04-01,63.84314876701758,53.07711226167325,83.87443492728754
1985-05-01,79.58365826493262,87.85440530490892,67.55207603346521
1985-06-01,106.72036637237548,80.89819039460603,77.58743306405788
1985-07-01,164.28148261074278,26.868052582705147,21.756905336627202
1985-08-01,137.11248444551066,18.8948411939,16.76577214330253
1985-09-01,60.777835416538245,37.7943591777342,19.882642561905868
1985-10-01,26.000402180980032,12.137003668016018,23.840219148573244
1985-11-01,21.350285219672493,29.143565117329775,47.60336079420506
1985-12-01,23.26310921782387,12.719046174846904,41.49275010694298
1986-01-01,23.637768596748266,13.262431751529897,50.879597275768575
1986-02-01,24.258565874323683,17.450967415969675,74.94075082768828
1986-03-01,114.59445375840366,97.80122327732444,219.58058870153857
1986-04-01,68.8623825848157,66.62348596008778,88.520882299826
1986-05-01,73.48848890091122,90.35325895806093,70.19148260534013
1986-06-01,121.61547961900386,51.35486468695319,46.337306542080746
1986-07-01,144.52983100730228,26.209922325237013,7.7795824919346614
1986-08-01,137.18185853980876,24.64488823631699,9.915543435592578
1986-09-01,52.88872750274356,32.36390977751232,11.847722811184621
1986-10-01,24.827419860121804,12.14356835941627,9.765249033253397
1986-11-01,18.109204641395596,8.878463653592652,47.6360843702898
1986-12-01,27.401391740714672,33.53112730969556,63.59139917460585
1987-01-01,27.187802864937435,14.243714427567495,38.13960075216126
1987-02-01,31.65985932497883,12.298433117097948,59.55956888306557
1987-03-01,68.3461999676826,43.48292910687276,149.97705774450634
1987-04-01,65.02440247417255,60.7281094754825,66.92160337341203
1987-05-01,72.96625769786223,126.28113470970479,94.68225556634789
1987-06-01,119.57489350756393,44.17064805122639,38.317805611257505
